decylamine	,	["CH2NH2"=>1, "CH2"=>8,"CH3"=>1]
2propanol	,	["CH3"=>2,"OH (S)"=>1,"CH"=>1]
2butanol	,	["CH3"=>2,"OH (S)"=>1,"CH"=>1, "CH2"=>1]
2pentanol 	,	["CH3"=>2,"OH (S)"=>1,"CH"=>1, "CH2"=>2]
2hexanol 	,	["CH3"=>2,"OH (S)"=>1,"CH"=>1, "CH2"=>3]
2heptanol	,	["CH3"=>2,"OH (S)"=>1,"CH"=>1, "CH2"=>4]
2octanol 	,	["CH3"=>2,"OH (S)"=>1,"CH"=>1, "CH2"=>5]
2nonanol	,	["CH3"=>2,"OH (S)"=>1,"CH"=>1, "CH2"=>6]
isobutanol	,	["CH3"=>2,"OH (P)"=>1,"CH"=>1, "CH2"=>1]
tertbutylalchol	,	["CH3"=>2,"OH (T)"=>1,"C"=>1, "CH2"=>1]
methyl formate	,	["CH3"=>1,"HCOO"=>1]
methyl acetate 	,	["CH3"=>2,"HCOO"=>1]
methyl propionate	,	["CH3"=>2,"HCOO"=>1,"CH2"=>1]
methyl butyrate 	,	["CH3"=>2,"HCOO"=>1,"CH2"=>2]
methyl benzoate	,	["CH3"=>1,"COO"=>1,"ACH" => 5, "AC"=>1]
ethyl benzoate	,	["CH3"=>1,"CH2"=>1,"COO"=>1,"ACH" => 5, "AC"=>1]
ethyl methanoate	,	["CH3"=>1,"HCOO"=>1,"CH2"=>1]
ethyl ethanoate	,	["CH3"=>2,"COO"=>1,"CH2"=>1]
ethyl propionate 	,	["CH3"=>2,"COO"=>1,"CH2"=>2]
ethyl butyrate 	,	["CH3"=>2,"COO"=>1,"CH2"=>3]
ethyl pentanoate 	,	["CH3"=>2,"COO"=>1,"CH2"=>4]
ethyl hexanoate	,	["CH3"=>2,"COO"=>1,"CH2"=>5]
ethyl heptanoate	,	["CH3"=>2,"COO"=>1,"CH2"=>6]
ethyl octanoate	,	["CH3"=>2,"COO"=>1,"CH2"=>7]
propyl formate	,	["CH3"=>1,"HCOO"=>1,"CH2"=>2]
propyl acetate	,	["CH3"=>2,"COO"=>1,"CH2"=>2]
propyl propionate	,	["CH3"=>2,"COO"=>1,"CH2"=>3]
propyl butanoate	,	["CH3"=>2,"COO"=>1,"CH2"=>4]
butyl formate	,	["CH3"=>1,"HCOO"=>1,"CH2"=>3]
butyl acetate	,	["CH3"=>2,"COO"=>1,"CH2"=>3]
butyl butyrate	,	["CH3"=>2,"COO"=>1,"CH2"=>4]
pentyl acetate	,	["CH3"=>2,"COO"=>1,"CH2"=>4]
