Clapeyron Database File,,,,,,,,
name:SAFTVRSW,paramtype:assoc,grouptype:nothing
species1,SMILES1,site1,species2,SMILES2,site2,epsilon_assoc,bondvol,source
water,O,H,water,O,e,1366.0,1.028E-30,
